Cell	Embryo	Stage	Group	Method	Run	Exclude	Position	Library
C139	E64	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_043
C140	E64	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_044
C141	E65	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_045
C142	E65	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_046
C143	E66	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_047
C144	E66	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_048
C145	E67	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_049
C146	E67	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_050
C147	E68	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_051
C148	E68	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_052
C149	E69	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_053
C150	E69	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_054
C151	E70	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_055
C152	E70	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_056
C153	E71	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_057
C154	E71	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_058
C155	E72	2-cell	2.5	Strand-seq	Run2	No	1	EWK180118_A_059
C156	E72	2-cell	2.5	Strand-seq	Run2	No	2	EWK180118_A_060
C157	E73	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_061
C158	E73	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_062
C159	E74	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_063
C160	E74	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_064
C161	E75	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_065
C162	E75	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_066
C163	E76	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_067
C164	E76	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_068
C165	E77	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_069
C166	E77	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_070
C167	E78	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_071
C168	E78	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_072
C169	E79	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_073
C170	E79	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_074
C171	E80	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_075
C172	E80	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_076
C173	E81	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_077
C174	E81	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_078
C175	E82	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_079
C176	E82	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_080
C177	E83	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_081
C178	E83	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_082
C179	E84	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_083
C180	E84	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_084
C181	E85	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_085
C182	E85	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_086
C183	E86	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_087
C184	E86	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_088
C185	E87	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_089
C186	E87	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_090
C187	E88	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_091
C188	E88	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_092
C189	E89	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_093
C190	E89	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_094
C191	E90	2-cell	10	Strand-seq	Run2	No	1	EWK180118_A_095
C192	E90	2-cell	10	Strand-seq	Run2	No	2	EWK180118_A_096
C193	E91	8-cell	0	WGS	Run3A	No	1	EK171124_A_001
C194	E91	8-cell	0	WGS	Run3A	No	3	EK171124_A_002
C195	E91	8-cell	0	WGS	Run3A	No	4	EK171124_A_003
C196	E91	8-cell	0	WGS	Run3A	No	2	EK171124_A_004
C197	E91	8-cell	0	WGS	Run3A	No	5	EK171124_A_005
C198	E91	8-cell	0	WGS	Run3A	No	6	EK171124_A_006
C199	E91	8-cell	0	WGS	Run3A	No	7	EK171124_A_007
C200	E91	8-cell	0	WGS	Run3A	No	8	EK171124_A_008
C201	E92	8-cell	0	WGS	Run3A	No	4	EK171124_A_009
C202	E92	8-cell	0	WGS	Run3A	No	7	EK171124_A_010
C203	E92	8-cell	0	WGS	Run3A	No	8	EK171124_A_011
C204	E92	8-cell	0	WGS	Run3A	No	2	EK171124_A_012
C205	E92	8-cell	0	WGS	Run3A	No	6	EK171124_A_013
C206	E92	8-cell	0	WGS	Run3A	No	5	EK171124_A_014
C207	E92	8-cell	0	WGS	Run3A	No	3	EK171124_A_015
C208	E92	8-cell	0	WGS	Run3A	No	1	EK171124_A_016
C209	E93	8-cell	0	WGS	Run3A	No	1	EK171124_A_017
C210	E93	8-cell	0	WGS	Run3A	No	6	EK171124_A_018
C211	E93	8-cell	0	WGS	Run3A	No	2	EK171124_A_019
C212	E93	8-cell	0	WGS	Run3A	No	5	EK171124_A_020
C213	E93	8-cell	0	WGS	Run3A	No	7	EK171124_A_021
C214	E93	8-cell	0	WGS	Run3A	No	8	EK171124_A_022
C215	E93	8-cell	0	WGS	Run3A	No	3	EK171124_A_023
C216	E93	8-cell	0	WGS	Run3A	No	9	EK171124_A_024
C217	E93	8-cell	0	WGS	Run3A	No	4	EK171124_A_025
C218	E94	8-cell	0	WGS	Run3A	No	4	EK171124_A_026
C219	E94	8-cell	0	WGS	Run3A	No	5	EK171124_A_027
C220	E94	8-cell	0	WGS	Run3A	No	7	EK171124_A_028
C221	E94	8-cell	0	WGS	Run3A	No	3	EK171124_A_029
C222	E94	8-cell	0	WGS	Run3A	No	2	EK171124_A_030
C223	E94	8-cell	0	WGS	Run3A	No	6	EK171124_A_031
C224	E94	8-cell	0	WGS	Run3A	No	1	EK171124_A_032
C225	E94	8-cell	0	WGS	Run3A	No	8	EK171124_A_033
C226	E95	8-cell	0	WGS	Run3A	No	4	EK171124_A_034
C227	E95	8-cell	0	WGS	Run3A	No	7	EK171124_A_035
C228	E95	8-cell	0	WGS	Run3A	No	8	EK171124_A_036
C229	E95	8-cell	0	WGS	Run3A	No	3	EK171124_A_037
C230	E95	8-cell	0	WGS	Run3A	No	6	EK171124_A_038
C231	E95	8-cell	0	WGS	Run3A	No	5	EK171124_A_039
C232	E95	8-cell	0	WGS	Run3A	No	1	EK171124_A_040
C233	E95	8-cell	0	WGS	Run3A	No	2	EK171124_A_041
C234	E96	8-cell	0	WGS	Run3A	No	1	EK171124_A_042
C235	E96	8-cell	0	WGS	Run3A	No	6	EK171124_A_043
C236	E96	8-cell	0	WGS	Run3A	No	7	EK171124_A_044
C237	E96	8-cell	0	WGS	Run3A	No	5	EK171124_A_045
C238	E96	8-cell	0	WGS	Run3A	No	2	EK171124_A_046
C239	E96	8-cell	0	WGS	Run3A	No	3	EK171124_A_047
C240	E96	8-cell	0	WGS	Run3A	No	4	EK171124_A_048
C241	E97	8-cell	2.5	WGS	Run3A	No	8	EK171124_A_049
C242	E97	8-cell	2.5	WGS	Run3A	No	4	EK171124_A_050
C243	E97	8-cell	2.5	WGS	Run3A	No	5	EK171124_A_051
C244	E97	8-cell	2.5	WGS	Run3A	No	2	EK171124_A_052
C245	E97	8-cell	2.5	WGS	Run3A	No	3	EK171124_A_053
C246	E97	8-cell	2.5	WGS	Run3A	No	6	EK171124_A_054
C247	E97	8-cell	2.5	WGS	Run3A	No	7	EK171124_A_055
C248	E97	8-cell	2.5	WGS	Run3A	No	1	EK171124_A_056
C249	E98	8-cell	2.5	WGS	Run3A	No	1	EK171124_A_057
C250	E98	8-cell	2.5	WGS	Run3A	No	3	EK171124_A_058
C251	E98	8-cell	2.5	WGS	Run3A	No	4	EK171124_A_059
C252	E98	8-cell	2.5	WGS	Run3A	No	5	EK171124_A_060
C253	E98	8-cell	2.5	WGS	Run3A	No	8	EK171124_A_061
C254	E98	8-cell	2.5	WGS	Run3A	No	6	EK171124_A_062
C255	E98	8-cell	2.5	WGS	Run3A	No	7	EK171124_A_063
C256	E98	8-cell	2.5	WGS	Run3A	No	2	EK171124_A_064
C257	E99	8-cell	2.5	WGS	Run3A	No	1	EK171124_A_065
C258	E99	8-cell	2.5	WGS	Run3A	No	5	EK171124_A_066
C259	E99	8-cell	2.5	WGS	Run3A	No	4	EK171124_A_067
C260	E99	8-cell	2.5	WGS	Run3A	No	3	EK171124_A_068
C261	E99	8-cell	2.5	WGS	Run3A	No	2	EK171124_A_069
C262	E99	8-cell	2.5	WGS	Run3A	No	6	EK171124_A_070
C263	E99	8-cell	2.5	WGS	Run3A	No	7	EK171124_A_071
C264	E99	8-cell	2.5	WGS	Run3A	No	8	EK171124_A_072
C265	E100	8-cell	2.5	WGS	Run3A	No	8	EK171124_A_073
C266	E100	8-cell	2.5	WGS	Run3A	No	7	EK171124_A_074
C267	E100	8-cell	2.5	WGS	Run3A	No	6	EK171124_A_075
C268	E100	8-cell	2.5	WGS	Run3A	No	5	EK171124_A_076
C269	E100	8-cell	2.5	WGS	Run3A	No	4	EK171124_A_077
C270	E100	8-cell	2.5	WGS	Run3A	No	3	EK171124_A_078
C271	E100	8-cell	2.5	WGS	Run3A	No	2	EK171124_A_079
C272	E100	8-cell	2.5	WGS	Run3A	No	1	EK171124_A_080
C273	E101	8-cell	2.5	WGS	Run3A	No	8	EK171124_A_081
C274	E101	8-cell	2.5	WGS	Run3A	No	4	EK171124_A_082
C275	E101	8-cell	2.5	WGS	Run3A	No	7	EK171124_A_083
C276	E101	8-cell	2.5	WGS	Run3A	No	3	EK171124_A_084
C277	E101	8-cell	2.5	WGS	Run3A	No	2	EK171124_A_085
C278	E101	8-cell	2.5	WGS	Run3A	No	6	EK171124_A_086
C279	E101	8-cell	2.5	WGS	Run3A	No	1	EK171124_A_087
C280	E101	8-cell	2.5	WGS	Run3A	No	5	EK171124_A_088
C281	E102	8-cell	2.5	WGS	Run3A	No	3	EK171124_A_089
C282	E102	8-cell	2.5	WGS	Run3A	No	1	EK171124_A_090
C283	E102	8-cell	2.5	WGS	Run3A	No	5	EK171124_A_091
C284	E102	8-cell	2.5	WGS	Run3A	No	8	EK171124_A_092
C285	E102	8-cell	2.5	WGS	Run3A	No	4	EK171124_A_093
C286	E102	8-cell	2.5	WGS	Run3A	No	7	EK171124_A_094
C287	E102	8-cell	2.5	WGS	Run3A	No	6	EK171124_A_095
C288	E102	8-cell	2.5	WGS	Run3A	No	2	EK171124_A_096
C289	E103	8-cell	0	WGS	Run3B	No	6	EK171124_B_001
C290	E103	8-cell	0	WGS	Run3B	No	5	EK171124_B_002
C291	E103	8-cell	0	WGS	Run3B	No	1	EK171124_B_003
C292	E103	8-cell	0	WGS	Run3B	No	7	EK171124_B_004
C293	E103	8-cell	0	WGS	Run3B	No	2	EK171124_B_005
C294	E103	8-cell	0	WGS	Run3B	No	4	EK171124_B_006
C295	E103	8-cell	0	WGS	Run3B	No	3	EK171124_B_007
C296	E103	8-cell	0	WGS	Run3B	No	8	EK171124_B_008
C297	E104	8-cell	0	WGS	Run3B	No	1	EK171124_B_009
C298	E104	8-cell	0	WGS	Run3B	No	3	EK171124_B_010
C299	E104	8-cell	0	WGS	Run3B	No	6	EK171124_B_011
C300	E104	8-cell	0	WGS	Run3B	No	2	EK171124_B_012
C301	E104	8-cell	0	WGS	Run3B	No	9	EK171124_B_013
C302	E104	8-cell	0	WGS	Run3B	No	4	EK171124_B_014
C303	E104	8-cell	0	WGS	Run3B	No	5	EK171124_B_015
C304	E104	8-cell	0	WGS	Run3B	No	7	EK171124_B_016
C305	E104	8-cell	0	WGS	Run3B	No	8	EK171124_B_017
C306	E105	8-cell	0	WGS	Run3B	No	4	EK171124_B_018
C307	E105	8-cell	0	WGS	Run3B	No	8	EK171124_B_019
C308	E105	8-cell	0	WGS	Run3B	No	2	EK171124_B_020
C309	E105	8-cell	0	WGS	Run3B	No	6	EK171124_B_021
C310	E105	8-cell	0	WGS	Run3B	No	7	EK171124_B_022
C311	E105	8-cell	0	WGS	Run3B	No	3	EK171124_B_023
C312	E105	8-cell	0	WGS	Run3B	No	5	EK171124_B_024
