Cell	Embryo	Stage	Group	Method	Run	Exclude	Position	Library
C739	E159	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_067
C740	E159	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_068
C741	E159	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_069
C742	E159	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_070
C743	E159	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_071
C744	E159	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_072
C745	E159	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_073
C746	E159	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_074
C747	E160	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_075
C748	E160	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_076
C749	E160	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_077
C750	E160	8-cell	0	Strand-seq	Run6	No	8	EWK160603_1-4_078
C751	E160	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_079
C752	E160	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_080
C753	E160	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_081
C754	E160	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_082
C755	E160	8-cell	0	Strand-seq	Run6	No	9	EWK160603_1-4_083
C756	E161	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_084
C757	E161	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_085
C758	E161	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_086
C759	E161	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_087
C760	E161	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_088
C761	E161	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_089
C762	E161	8-cell	0	Strand-seq	Run6	No	7	EWK160603_1-4_090
C763	E162	8-cell	0	Strand-seq	Run6	No	1	EWK160603_1-4_091
C764	E162	8-cell	0	Strand-seq	Run6	No	4	EWK160603_1-4_092
C765	E162	8-cell	0	Strand-seq	Run6	No	5	EWK160603_1-4_093
C766	E162	8-cell	0	Strand-seq	Run6	No	3	EWK160603_1-4_094
C767	E162	8-cell	0	Strand-seq	Run6	No	2	EWK160603_1-4_095
C768	E162	8-cell	0	Strand-seq	Run6	No	6	EWK160603_1-4_096
C769	E163	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_001
C770	E163	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_002
C771	E163	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_003
C772	E163	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_004
C773	E163	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_005
C774	E163	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_006
C775	E163	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_007
C776	E163	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_008
C777	E163	8-cell	2.5	Strand-seq	Run7	No	9	EWK170120_I_009
C778	E164	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_010
C779	E164	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_011
C780	E164	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_012
C781	E164	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_013
C782	E164	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_014
C783	E164	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_015
C784	E164	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_016
C785	E164	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_017
C786	E165	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_018
C787	E165	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_019
C788	E165	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_020
C789	E165	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_021
C790	E165	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_022
C791	E165	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_023
C792	E165	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_024
C793	E165	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_025
C794	E166	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_026
C795	E166	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_027
C796	E166	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_028
C797	E166	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_029
C798	E166	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_030
C799	E166	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_031
C800	E166	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_032
C801	E166	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_033
C802	E167	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_034
C803	E167	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_035
C804	E167	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_036
C805	E167	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_037
C806	E167	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_038
C807	E167	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_039
C808	E167	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_040
C809	E167	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_041
C810	E168	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_042
C811	E168	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_043
C812	E168	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_044
C813	E168	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_045
C814	E168	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_046
C815	E168	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_047
C816	E168	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_048
C817	E168	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_049
C818	E169	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_050
C819	E169	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_051
C820	E169	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_052
C821	E169	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_053
C822	E169	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_054
C823	E169	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_055
C824	E169	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_056
C825	E169	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_057
C826	E170	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_058
C827	E170	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_059
C828	E170	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_060
C829	E170	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_061
C830	E170	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_062
C831	E170	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_063
C832	E170	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_064
C833	E170	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_065
C834	E171	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_066
C835	E171	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_067
C836	E171	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_068
C837	E171	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_069
C838	E171	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_070
C839	E171	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_071
C840	E171	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_072
C841	E172	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_073
C842	E172	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_074
C843	E172	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_075
C844	E172	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_076
C845	E172	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_077
C846	E172	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_078
C847	E172	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_079
C848	E172	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_080
C849	E173	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_081
C850	E173	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_082
C851	E173	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_083
C852	E173	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_084
C853	E173	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_085
C854	E173	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_086
C855	E173	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_087
C856	E173	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_088
C857	E174	8-cell	2.5	Strand-seq	Run7	No	4	EWK170120_I_089
C858	E174	8-cell	2.5	Strand-seq	Run7	No	1	EWK170120_I_090
C859	E174	8-cell	2.5	Strand-seq	Run7	No	3	EWK170120_I_091
C860	E174	8-cell	2.5	Strand-seq	Run7	No	7	EWK170120_I_092
C861	E174	8-cell	2.5	Strand-seq	Run7	No	5	EWK170120_I_093
C862	E174	8-cell	2.5	Strand-seq	Run7	No	8	EWK170120_I_094
C863	E174	8-cell	2.5	Strand-seq	Run7	No	2	EWK170120_I_095
C864	E174	8-cell	2.5	Strand-seq	Run7	No	6	EWK170120_I_096
